# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 702
0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0 000002_9223372199154788468_1768981867461490118_cam0_p+0_y+30_r+0.jpg

117 0.7464695409619277 -0.4919770390506402 -0.4336949567522734 -0.11247445021291369 1.2704678090132702 0.16322727886043192 1.5048811577394288 117 000182_9223372208204785306_1768981876510021410_cam0_p+0_y+30_r+0.jpg

118 -0.5677655900406324 0.6121270917530469 0.5501502982383042 0.01665255704311381 1.2666375336959055 0.16242892839149037 1.5155364619552523 118 000182_9223372208204785306_1768981876510021410_cam0_p+30_y+0_r+0.jpg

119 0.6799089351473434 -0.6023498208542762 -0.18172050258322517 -0.37666456186443514 1.26273741906892 0.1584151534259588 1.5042608548913903 119 000182_9223372208204785306_1768981876510021410_cam0_p-30_y+0_r+0.jpg

120 0.7683694126890624 -0.5001482487534261 -0.37402278919387805 -0.13988255100754354 1.2576535201062735 0.17721521164288043 1.5303496168469546 120 000185_9223372208354787348_1768981876661129609_cam0_p+0_y+30_r+0.jpg

121 -0.5941526033097256 0.6236675492747189 0.5066741335279359 0.036094242971105465 1.2556526914721222 0.17282820649125763 1.5405796006385928 121 000185_9223372208354787348_1768981876661129609_cam0_p+30_y+0_r+0.jpg

122 0.6939840836926626 -0.5987116863366198 -0.09527794791262668 -0.3883973749483577 1.250568279894132 0.17300977022250452 1.5280424103042616 122 000185_9223372208354787348_1768981876661129609_cam0_p-30_y+0_r+0.jpg

123 0.7973886375095395 -0.45223354092284207 -0.3637071398085538 -0.16544878871526844 1.2437122139443675 0.18709423480952284 1.5564300146442533 123 000188_9223372208454788098_1768981876807672826_cam0_p+0_y+30_r+0.jpg

